date,RET
2009-03-06,-0.039847
2009-03-09,-0.025674000000000002
2009-03-10,0.066388
2009-03-11,0.045725
2009-03-12,0.039599
2009-03-13,-0.004359
2009-03-16,-0.0053159999999999995
2009-03-17,0.044435
2009-03-18,0.018663
2009-03-19,0.000985
2009-03-20,-0.000295
2009-03-23,0.05975
2009-03-24,-0.010765
2009-03-25,-0.000103
2009-03-26,0.03174
2009-03-27,-0.027487
2009-03-30,-0.022087
2009-03-31,0.006029
2009-04-01,0.033961
2009-04-02,0.036986
2009-04-03,0.029101
2009-04-06,0.021209
2009-04-07,-0.029126
2009-04-08,0.011478
2009-04-09,0.027939999999999996
2009-04-13,0.005436
2009-04-14,-0.015888
2009-04-15,-0.0056630000000000005
2009-04-16,0.032387
2009-04-17,0.016221
2009-04-20,-0.023659
2009-04-21,0.010456
2009-04-22,-0.002053
2009-04-23,0.032014
2009-04-24,-0.011962
2009-04-27,0.006698999999999999
2009-04-28,-0.006638
2009-04-29,0.009992000000000001
2009-04-30,0.005514
2009-05-01,0.011206
2009-05-04,0.03796
2009-05-05,0.0048460000000000005
2009-05-06,-0.001582
2009-05-07,-0.025962
2009-05-08,0.001007
2009-05-11,0.002941
2009-05-12,-0.039747000000000005
2009-05-13,-0.039624
2009-05-14,0.028956
2009-05-15,-0.004311
2009-05-18,0.034553
2009-05-19,0.0063170000000000006
2009-05-20,-0.012397
2009-05-21,-0.013427000000000001
2009-05-22,-0.013529
2009-05-26,0.067592
2009-05-27,0.017357
2009-05-28,0.015182
2009-05-29,0.0054789999999999995
2009-06-01,0.026066000000000002
2009-06-02,0.001005
2009-06-03,0.010467
2009-06-04,0.019794
2009-06-05,0.00647
2009-06-08,-0.005668
2009-06-09,-0.007855
2009-06-10,-0.017307
2009-06-11,-0.002139
2009-06-12,-0.021293
2009-06-15,-0.006425
2009-06-16,0.001911
2009-06-17,-0.005647
2009-06-18,0.0022129999999999997
2009-06-19,0.026494
2009-06-22,-0.015128
2009-06-23,-0.024459
2009-06-24,0.016491
2009-06-25,0.026720999999999998
2009-06-26,0.018447
2009-06-29,-0.0033
2009-06-30,0.00324
2009-07-01,0.0028079999999999997
2009-07-02,-0.019674
2009-07-06,-0.01007
2009-07-07,-0.023159
2009-07-08,0.013441999999999999
2009-07-09,-0.006267
2009-07-10,0.01584
2009-07-13,0.027576999999999997
2009-07-14,-0.000492
2009-07-15,0.032402999999999994
2009-07-16,0.004357
2009-07-17,0.028674
2009-07-20,0.007638
2009-07-21,-0.009149
2009-07-22,0.034519
2009-07-23,0.00689
2009-07-24,0.013724
2009-07-27,0.000713
2009-07-28,-0.000625
2009-07-29,0.00018700000000000002
2009-07-30,0.017247
2009-07-31,0.003686
2009-08-03,0.018606
